,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Acarau,BR,-2.8856,-40.12,84.25,65,99,13.65,overcast clouds
349,Tocopilla,CL,-22.092,-70.1979,74.5,65,20,11.83,few clouds
350,Rabaul,PG,-4.1967,152.1721,78.4,83,100,7.38,overcast clouds
351,Sanchez,DO,19.2281,-69.6137,78.82,78,75,13.8,broken clouds
352,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,overcast clouds
353,Fereydunshahr,IR,32.941,50.121,21.94,98,94,3.11,overcast clouds
354,Laguna,US,38.421,-121.4238,78.62,53,0,1.01,clear sky
355,Daura,NG,11.5538,11.4085,74.89,15,100,10.67,overcast clouds
356,Guerrero Negro,MX,27.9769,-114.0611,73.0,31,100,2.64,overcast clouds
357,Rengo,CL,-34.4167,-70.8667,93.52,12,3,10.09,clear sky
358,Faanui,PF,-16.4833,-151.75,80.69,74,100,15.35,overcast clouds
359,Diego De Almagro,CL,-26.3667,-70.05,82.33,21,0,16.75,clear sky
360,Atbasar,KZ,51.8,68.3333,12.47,97,99,7.34,overcast clouds
361,Colac,AU,-38.3333,143.5833,68.07,81,97,5.01,overcast clouds
362,Sao Francisco,BR,-15.9486,-44.8644,73.69,88,100,1.97,overcast clouds
363,Talnakh,RU,69.4865,88.3972,-8.34,79,12,9.62,few clouds
364,Cruzeiro Do Sul,BR,-29.5128,-51.9853,90.97,75,97,8.77,overcast clouds
365,Sambava,MG,-14.2667,50.1667,77.92,83,94,8.61,light rain
366,Dunedin,NZ,-45.8742,170.5036,50.81,77,100,8.99,overcast clouds
367,Aksu,CN,41.1231,80.2644,30.29,44,57,3.13,broken clouds
368,Ancud,CL,-41.8697,-73.8203,79.23,61,84,5.23,broken clouds
369,Cockburn Town,TC,21.4612,-71.1419,80.56,54,40,19.57,scattered clouds
370,Argir,FO,61.9959,-6.7715,38.37,90,99,6.89,overcast clouds
371,Waipawa,NZ,-41.4122,175.5153,54.45,96,100,17.49,light rain
372,Omboue,GA,-1.5746,9.2618,79.52,87,100,6.69,light rain
373,Uray,RU,60.1247,64.7758,-1.39,100,94,4.79,overcast clouds
374,Isangel,VU,-19.55,169.2667,77.11,94,75,0.0,broken clouds
375,Bubaque,GW,11.2833,-15.8333,80.65,58,0,12.86,clear sky
376,Dahra,DZ,36.2546,0.8519,51.19,90,7,4.23,clear sky
377,Namatanai,PG,-3.6667,152.4333,77.83,84,100,3.47,moderate rain
378,Khowst,AF,33.3833,69.8833,46.67,36,0,3.24,clear sky
379,Faya,SA,18.3851,42.4509,57.72,69,1,6.13,clear sky
380,Cape Canaveral,US,28.4058,-80.6048,84.27,66,0,6.91,clear sky
381,Beian,NO,63.6559,9.5683,36.01,87,75,19.57,broken clouds
382,Kousseri,CM,12.0769,15.0306,78.76,13,13,6.91,few clouds
383,Ca Mau,VN,9.1769,105.15,77.14,84,100,8.12,overcast clouds
384,Santa Rosa,PH,14.3122,121.1114,79.11,80,98,8.1,overcast clouds
385,Slave Lake,CA,55.2834,-114.769,26.58,59,0,8.05,clear sky
386,Shingu,JP,33.7333,135.9833,42.91,62,100,5.06,overcast clouds
387,Mountain Home,US,43.133,-115.6912,38.41,100,20,13.8,few clouds
388,Dilla,ET,6.41,38.31,68.74,40,75,3.56,broken clouds
389,Rapid City,US,44.0805,-103.231,42.42,45,40,10.36,scattered clouds
390,Asau,RO,46.4333,26.4,31.75,92,94,1.92,overcast clouds
391,Dryden,CA,49.7833,-92.7503,-9.11,54,100,6.91,overcast clouds
392,Umm Lajj,SA,25.0213,37.2685,69.76,25,0,24.74,clear sky
393,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-5.21,77,75,4.47,broken clouds
394,Marfino,RU,55.7028,37.3822,26.85,63,0,13.42,light snow
395,Concordia,AR,-31.393,-58.0209,73.47,73,75,21.0,broken clouds
396,Severo-Yeniseyskiy,RU,60.3725,93.0408,-17.5,99,21,3.69,few clouds
397,Sahaswan,IN,28.0833,78.75,53.04,55,0,3.65,clear sky
398,Altay,CN,47.8667,88.1167,9.52,73,100,5.55,overcast clouds
399,Kimbe,PG,-5.5502,150.1429,74.77,92,100,2.84,overcast clouds
400,Northam,GB,51.0333,-4.2167,49.42,96,100,20.85,overcast clouds
401,Limeira,BR,-22.5647,-47.4017,88.86,67,46,3.06,scattered clouds
402,Itarsi,IN,22.6167,77.75,59.22,30,0,5.1,clear sky
403,Stykkisholmur,IS,65.0757,-22.7297,18.81,81,29,8.37,scattered clouds
404,Myitkyina,MM,25.3833,97.4,52.95,92,3,2.91,clear sky
405,Harda,IN,22.3333,77.1,61.34,24,0,5.97,clear sky
406,Cowra,AU,-33.8333,148.6833,58.73,80,0,4.54,clear sky
407,Beringovskiy,RU,63.05,179.3167,-25.98,95,11,7.65,few clouds
408,Kapoeta,SS,4.7717,33.5903,89.19,22,28,6.76,scattered clouds
409,Camacupa,AO,-12.0167,17.4833,68.38,73,100,3.83,overcast clouds
410,Aktash,RU,50.3,87.7333,-23.26,77,1,4.9,clear sky
411,Znamenskoye,RU,57.1281,73.8282,-1.77,93,91,8.23,overcast clouds
412,Homer,US,59.6425,-151.5483,36.77,93,100,3.44,light snow
413,Merauke,ID,-8.4667,140.3333,76.8,84,0,10.18,clear sky
414,Matay,EG,28.419,30.7792,60.17,32,0,6.08,clear sky
415,Chukhloma,RU,58.7525,42.6825,15.76,95,100,7.34,overcast clouds
416,Bidor,MY,4.1139,101.2884,76.98,92,87,2.73,overcast clouds
417,Moron,AR,-34.6534,-58.6198,74.01,60,10,8.39,clear sky
418,Adre,TD,13.4667,22.2,72.99,11,100,10.65,overcast clouds
419,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,11.5,clear sky
420,Palmer,US,42.1584,-72.3287,57.67,39,75,19.57,broken clouds
421,Kawalu,ID,-7.3817,108.2082,73.11,92,100,2.08,overcast clouds
422,Yulara,AU,-25.2406,130.9889,69.64,43,0,6.91,clear sky
423,Bataipora,BR,-22.2953,-53.2711,93.45,28,5,7.23,clear sky
424,Udomlya,RU,57.8794,34.9925,26.96,91,98,12.57,overcast clouds
425,Saquarema,BR,-22.92,-42.5103,80.64,81,35,8.63,moderate rain
426,Puerto Narino,CO,-3.7703,-70.3831,78.75,65,86,2.35,overcast clouds
427,Grindavik,IS,63.8424,-22.4338,25.27,63,0,12.66,clear sky
428,Pljevlja,ME,43.3333,19.3333,27.05,98,100,1.54,overcast clouds
429,Nouadhibou,MR,20.931,-17.0347,73.38,43,76,13.8,broken clouds
430,Kourou,GF,5.1552,-52.6478,80.65,85,54,9.55,broken clouds
431,Port Macquarie,AU,-31.4333,152.9167,62.89,68,100,7.74,overcast clouds
432,Lorengau,PG,-2.0226,147.2712,80.58,76,100,3.51,overcast clouds
433,Swan River,CA,52.1058,-101.2676,-5.91,65,32,4.61,scattered clouds
434,Makakilo City,US,21.3469,-158.0858,76.28,69,0,6.91,clear sky
435,Bardiyah,LY,31.7561,25.0865,56.14,65,0,7.72,clear sky
436,Popesti,RO,47.2333,22.4167,31.59,68,0,4.43,clear sky
437,Mocuba,MZ,-16.8392,36.9856,72.48,96,99,3.2,overcast clouds
438,Fontenay-Le-Comte,FR,46.5833,-1.0,41.07,72,81,3.53,broken clouds
439,Killybegs,IE,54.6333,-8.45,46.45,82,100,20.6,overcast clouds
440,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,77,100,10.94,overcast clouds
441,Sainte-Thecle,CA,46.8168,-72.4991,26.64,89,100,15.86,light snow
442,Sooke,CA,48.3746,-123.7276,50.58,64,3,13.8,clear sky
443,Almaznyy,RU,48.0448,40.045,35.74,96,100,16.89,light rain
444,San Cristobal,VE,7.7669,-72.225,77.18,38,99,6.33,overcast clouds
445,Cayenne,GF,4.9333,-52.3333,80.64,87,75,10.36,broken clouds
446,San Vicente,AR,-26.6167,-54.1333,89.42,32,56,5.28,broken clouds
447,Kaeo,NZ,-35.1,173.7833,67.01,85,100,21.18,overcast clouds
448,Nabire,ID,-3.3667,135.4833,74.97,92,96,3.15,overcast clouds
449,Chabahar,IR,25.2919,60.643,70.83,64,0,10.71,clear sky
450,Del Rio,US,29.3627,-100.8968,64.51,22,0,20.71,clear sky
451,Komsomolskiy,UZ,40.4272,71.7189,40.42,87,100,2.3,fog
452,Seymchan,RU,62.8833,152.4333,-43.89,100,77,0.63,broken clouds
453,Panjab,AF,34.388,67.0233,10.22,81,41,3.56,scattered clouds
454,Henties Bay,NA,-22.116,14.2845,71.85,80,77,6.2,light rain
455,Geraldton,AU,-28.7667,114.6,70.21,73,3,17.27,clear sky
456,Acapulco,MX,16.8634,-99.8901,85.82,58,75,6.91,broken clouds
457,Desaguadero,PE,-16.5656,-69.0417,56.17,51,100,11.99,overcast clouds
458,Hailar,CN,49.2,119.7,-26.9,100,100,3.47,overcast clouds
459,Siocon,PH,7.7061,122.1353,77.2,87,100,4.09,overcast clouds
460,Bose,IT,45.4612,8.0137,42.66,70,99,3.09,overcast clouds
461,Kudat,MY,6.8837,116.8477,75.13,94,20,2.3,few clouds
462,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,28.77,snow
463,Lloro,CO,5.4961,-76.5495,85.95,82,53,3.4,broken clouds
464,Dumas,US,35.8656,-101.9732,38.1,55,0,10.36,clear sky
465,Aldan,RU,58.6031,125.3894,-28.77,98,96,3.53,overcast clouds
466,Moranbah,AU,-22.0016,148.0466,69.89,83,1,9.48,clear sky
467,Corvallis,US,44.5646,-123.262,60.46,57,0,8.01,clear sky
468,Belaya Gora,RU,68.5333,146.4167,-23.44,91,100,6.08,overcast clouds
469,Kikwit,CD,-5.041,18.8162,71.74,90,83,2.19,broken clouds
470,Ergani,TR,38.2653,39.7621,36.32,60,6,6.46,clear sky
471,Ucluelet,CA,48.9329,-125.5528,46.71,49,0,0.65,clear sky
472,Andenes,NO,69.3143,16.1194,26.58,74,15,17.27,few clouds
473,Khash,IR,28.2211,61.2158,52.03,35,0,1.32,clear sky
474,Bintulu,MY,3.1667,113.0333,73.81,100,40,4.61,moderate rain
475,Shimoda,JP,34.6667,138.95,41.11,64,92,2.04,overcast clouds
476,Yerbogachen,RU,61.2767,108.0108,-18.13,100,97,1.68,overcast clouds
477,Palenque,MX,17.5167,-91.9667,82.56,69,40,5.75,scattered clouds
478,Kostomuksha,RU,64.571,30.5767,2.89,100,93,3.94,overcast clouds
479,Brentwood,US,40.7812,-73.2462,59.83,44,0,18.41,clear sky
480,Krasnoselkup,RU,65.7,82.4667,-6.47,91,6,12.17,clear sky
481,Mabaruma,GY,8.2,-59.7833,81.09,60,100,7.38,overcast clouds
482,Terekli-Mekteb,RU,44.1671,45.8698,42.44,67,10,2.64,clear sky
483,Hambantota,LK,6.1241,81.1185,76.44,85,100,9.86,overcast clouds
484,Mahibadhoo,MV,3.7833,72.9667,81.09,73,100,2.95,overcast clouds
485,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,80,87,5.44,overcast clouds
486,Nha Trang,VN,12.25,109.1833,77.0,90,84,5.64,broken clouds
487,Kabelvag,NO,68.2114,14.4817,26.53,90,99,10.78,light snow
488,Morganton,US,35.7454,-81.6848,70.23,33,40,7.0,scattered clouds
489,Dombarovskiy,RU,50.7587,59.5386,27.0,91,100,25.32,overcast clouds
490,Novomalorossiyskaya,RU,45.6348,39.8948,42.39,85,100,17.78,moderate rain
491,Luz,BR,-19.8014,-45.6856,72.07,85,96,7.96,overcast clouds
492,Jacqueville,CI,5.2052,-4.4146,82.31,82,18,9.46,few clouds
493,Abu Dhabi,AE,24.4667,54.3667,71.71,67,0,3.44,clear sky
494,Ixtapa,MX,20.7,-105.2,76.23,65,0,11.5,clear sky
495,Groningen,NL,53.25,6.75,40.01,69,100,12.66,overcast clouds
496,Matara,LK,5.9485,80.5353,75.33,91,100,4.18,overcast clouds
497,Vanderhoof,CA,54.0166,-124.0198,34.65,81,100,0.83,overcast clouds
498,Shestakovo,RU,56.4915,103.96,-25.38,100,76,0.98,broken clouds
499,Bama,NG,11.5221,13.6856,73.92,21,26,11.21,scattered clouds
500,Salinas,US,36.6777,-121.6555,77.0,41,0,17.27,clear sky
501,Kalianget,ID,-7.05,113.9333,76.35,89,100,6.17,light rain
502,Saint-Pierre,RE,-21.3393,55.4781,78.44,78,20,4.61,few clouds
503,Kattivakkam,IN,13.2167,80.3167,80.08,77,6,9.31,clear sky
504,Sumbe,AO,-11.2061,13.8437,77.4,78,48,6.8,scattered clouds
505,Kaka,TM,37.3482,59.6143,43.57,83,100,4.03,overcast clouds
506,Tevaitoa,PF,-16.7833,-151.5,81.14,74,100,15.14,overcast clouds
507,Kiunga,PG,-6.1219,141.2906,72.37,92,97,1.14,overcast clouds
508,Primorsk,UA,46.7348,36.3443,36.91,69,100,22.88,overcast clouds
509,Mandalgovi,MN,45.7625,106.2708,-7.22,78,13,6.22,few clouds
510,Aleksandrov Gay,RU,50.147,48.5704,22.68,97,100,1.14,overcast clouds
511,Two Hills,CA,53.7169,-111.7518,25.68,79,94,3.44,overcast clouds
512,Fairmont,US,39.4851,-80.1426,46.27,59,89,1.99,overcast clouds
513,Saint-Vallier,FR,46.6411,4.3711,36.18,76,100,1.7,overcast clouds
514,Coahuayana,MX,18.7333,-103.6833,85.48,29,18,6.64,few clouds
515,Kropotkin,RU,45.4375,40.5756,43.09,77,100,18.99,moderate rain
516,Kanniyakumari,IN,8.0833,77.5667,78.62,75,100,13.58,overcast clouds
517,Umtata,ZA,-31.5889,28.7844,71.22,90,1,3.56,clear sky
518,Storslett,NO,69.7678,21.0247,15.08,83,28,11.48,scattered clouds
519,Pingzhuang,CN,42.0372,119.2889,10.65,70,21,3.67,few clouds
520,Sola,VU,-13.8833,167.55,80.13,72,97,4.92,overcast clouds
521,Ambon,ID,-3.6954,128.1814,75.34,94,40,2.3,light rain
522,Varhaug,NO,58.6147,5.6457,42.89,94,100,26.26,light rain
523,Fort Nelson,CA,58.8053,-122.7002,11.79,79,75,2.3,broken clouds
524,Lianran,CN,24.9227,102.485,45.14,58,0,1.12,clear sky
525,Wajid,SO,3.8093,43.2471,80.82,27,99,11.43,overcast clouds
526,Manavalakurichi,IN,8.1333,77.3,78.89,81,100,3.69,overcast clouds
527,Tarakan,ID,3.3,117.6333,79.11,79,100,4.79,light rain
528,Wanning,CN,18.8003,110.3967,65.59,80,100,5.14,overcast clouds
529,Kasongo-Lunda,CD,-6.4667,16.8167,70.27,98,99,3.36,moderate rain
530,Urumqi,CN,43.801,87.6005,9.55,92,75,2.24,mist
531,Togur,RU,58.3631,82.8265,-4.18,98,13,7.45,few clouds
532,Redlands,US,34.0556,-117.1825,84.4,15,0,3.0,clear sky
533,Bontang,ID,0.1333,117.5,78.03,83,100,5.82,overcast clouds
534,Plastun,RU,44.7561,136.2939,10.9,75,78,12.68,broken clouds
535,Nemuro,JP,43.3236,145.575,21.81,80,59,3.27,broken clouds
536,Loukhi,RU,66.0764,33.0381,9.19,89,56,6.62,broken clouds
537,Skala Fourkas,GR,39.9998,23.3841,54.45,77,100,13.06,overcast clouds
538,Burgersdorp,ZA,-30.9977,26.3286,78.12,27,68,4.52,broken clouds
539,Sibiti,CG,-3.6819,13.3499,71.29,93,93,2.68,light rain
540,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,82,40,14.97,scattered clouds
541,Bridgewater,CA,44.3835,-64.5155,54.66,80,40,25.32,scattered clouds
542,Oktyabrskiy,RU,54.4815,53.471,25.25,93,100,7.85,overcast clouds
543,Bahia Honda,CU,22.9036,-83.1592,81.7,65,43,9.98,scattered clouds
544,Chittaurgarh,IN,24.8833,74.6333,58.12,34,0,1.77,clear sky
545,Osorno,CL,-40.5667,-73.15,80.91,39,0,13.8,clear sky
546,Honningsvag,NO,70.9821,25.9704,24.33,61,100,22.75,light snow
547,Anshun,CN,26.25,105.9333,35.85,87,100,10.29,overcast clouds
548,Paungde,MM,18.4833,95.5,63.54,53,15,6.67,few clouds
549,Mae Hong Son,TH,19.3003,97.9685,59.5,44,85,1.59,overcast clouds
550,Ardesen,TR,41.1911,40.9875,42.76,63,8,6.44,clear sky
551,Baherden,TM,38.4362,57.4316,43.9,78,6,4.94,clear sky
552,Iralaya,HN,15.0,-83.2333,84.29,69,35,12.41,scattered clouds
553,Gazojak,TM,41.1875,61.4036,38.3,56,6,4.07,clear sky
554,Nanakuli,US,21.3906,-158.1547,77.7,69,0,6.91,clear sky
555,Pandhana,IN,21.7,76.2167,66.45,22,0,5.08,clear sky
556,Tarnogskiy Gorodok,RU,60.4997,43.5761,14.88,95,96,6.04,overcast clouds
557,Goure,NE,13.9835,10.2704,74.01,10,7,9.33,clear sky
558,Amuntai,ID,-2.4177,115.2494,73.58,92,100,0.36,overcast clouds
559,Maloy,NO,61.9353,5.1136,42.53,92,100,7.0,moderate rain
560,Eureka,US,40.8021,-124.1637,67.19,65,0,3.0,clear sky
561,Berezovka,BY,53.7214,25.4993,30.06,69,98,9.57,overcast clouds
562,Sol-Iletsk,RU,51.1631,54.9918,14.38,99,46,5.5,scattered clouds
563,Torbay,CA,47.6666,-52.7314,45.75,80,100,14.97,overcast clouds
564,Pailon,BO,-17.65,-62.75,85.68,89,96,12.55,light rain
565,San Luis,AR,-33.295,-66.3356,73.22,25,0,12.91,clear sky
566,Solec Kujawski,PL,53.0837,18.2257,32.68,61,0,4.61,clear sky
567,Acari,PE,-15.4311,-74.6158,82.17,55,26,12.03,scattered clouds
568,Ndola,ZM,-12.9587,28.6366,61.5,91,83,4.65,broken clouds
569,Lawton,US,34.6087,-98.3903,42.82,29,0,13.8,clear sky
570,Guarapari,BR,-20.6667,-40.4975,76.89,95,100,3.67,overcast clouds
571,Shieli,KZ,44.1667,66.75,33.31,84,100,6.35,overcast clouds
572,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,93,100,12.66,overcast clouds
573,Requena,ES,39.4883,-1.1004,49.14,72,98,2.53,overcast clouds
574,Bolotnoye,RU,55.6717,84.3981,-16.69,100,74,5.26,broken clouds
575,Mongo,TD,12.1844,18.693,80.85,12,6,5.75,clear sky
576,Maldonado,UY,-34.6667,-54.9167,63.79,91,100,18.88,overcast clouds
577,Adolfo Lopez Mateos,MX,28.4667,-107.3,58.93,16,0,12.3,clear sky
578,Eirunepe,BR,-6.6603,-69.8736,86.49,63,76,4.76,broken clouds
579,Lazaro Cardenas,MX,17.9583,-102.2,87.6,34,100,6.33,overcast clouds
580,Raffadali,IT,37.4036,13.5331,48.96,82,99,4.43,overcast clouds
581,Sao Sebastiao,BR,-23.76,-45.4097,77.2,83,59,4.7,broken clouds
582,Union De Reyes,CU,22.7953,-81.5375,80.78,50,91,5.88,overcast clouds
583,Igrim,RU,63.1906,64.4162,5.49,95,100,6.76,overcast clouds
584,Tharad,IN,24.3961,71.6267,62.78,25,0,5.08,clear sky
585,Port Augusta,AU,-32.5,137.7667,60.94,22,99,3.38,overcast clouds
586,Okmulgee,US,35.6234,-95.9605,38.12,20,0,9.22,clear sky
587,Helong,CN,42.5397,128.9972,13.91,77,96,2.51,overcast clouds
588,Troitskoye,RU,52.9821,84.6757,-4.2,98,8,5.01,clear sky
589,Saint-Leu,RE,-21.15,55.2833,77.83,76,5,3.47,clear sky
590,Nganjuk,ID,-7.6051,111.9035,74.52,94,100,1.19,moderate rain
591,Wufeng,CN,27.45,104.8333,28.06,98,100,2.28,snow
592,Iranshahr,IR,27.2025,60.6848,61.14,31,0,0.0,clear sky
593,Zarubino,RU,42.63,131.0922,19.36,45,100,5.82,overcast clouds
594,Penalva,BR,-3.2942,-45.1736,84.36,70,49,4.34,scattered clouds
595,Las Vegas,US,36.175,-115.1372,69.6,17,0,10.36,clear sky
596,Roebourne,AU,-20.7833,117.1333,85.96,66,100,1.48,overcast clouds
597,Ligayan,PH,4.6533,119.4706,81.27,72,100,4.61,overcast clouds
598,Amapa,BR,1.0,-52.0,81.45,76,93,4.25,overcast clouds
599,Garowe,SO,8.4054,48.4845,68.86,65,69,11.12,broken clouds
600,Barcelona,ES,41.3888,2.159,54.79,81,75,3.44,broken clouds
601,Kisangani,CD,0.5167,25.2,78.1,60,100,0.38,overcast clouds
602,Tabou,CI,4.423,-7.3528,78.58,85,5,6.35,clear sky
603,Florianopolis,BR,-27.6146,-48.5012,82.62,64,40,13.8,scattered clouds
604,Novikovo,RU,51.1537,37.8879,21.96,91,40,9.08,scattered clouds
605,Troitsko-Pechorsk,RU,62.7084,56.1964,10.65,96,100,6.15,overcast clouds
606,Bonavista,CA,48.6499,-53.1147,41.11,80,100,25.26,overcast clouds
607,Havoysund,NO,70.9963,24.6622,27.48,57,100,21.36,light snow
608,Pontes E Lacerda,BR,-15.2261,-59.3353,79.93,91,92,3.65,overcast clouds
609,Tazovskiy,RU,67.4667,78.7,-7.38,92,6,14.83,clear sky
610,Honiara,SB,-9.4333,159.95,76.98,88,94,2.17,overcast clouds
611,Poya,NC,-21.35,165.15,78.71,84,100,1.61,overcast clouds
612,Sanchor,IN,24.7553,71.7722,60.98,28,0,3.91,clear sky
613,Muroto,JP,33.2833,134.15,51.6,62,100,14.2,overcast clouds
614,Udachnyy,RU,66.4167,112.4,-15.5,100,96,2.93,overcast clouds
615,Sao Miguel,BR,-5.4667,-35.3667,86.77,71,22,10.89,few clouds
616,Iquique,CL,-20.2208,-70.1431,75.24,63,2,10.94,clear sky
617,Metro,ID,-5.1131,105.3067,74.37,88,100,2.66,overcast clouds
618,Venkatagiri,IN,13.9667,79.5833,69.64,87,9,3.02,clear sky
619,Novouzensk,RU,50.4592,48.1431,23.92,96,100,2.46,overcast clouds
620,Palmas Bellas,PA,9.2319,-80.0867,91.31,62,16,11.7,few clouds
621,Conguaco,GT,14.0442,-90.0311,81.93,34,2,11.21,clear sky
622,Mutare,ZW,-18.9707,32.6709,61.84,87,5,3.36,clear sky
623,Ugoofaaru,MV,5.6667,73.0,80.74,75,100,4.16,overcast clouds
624,Kashi,CN,39.4547,75.9797,38.41,30,93,4.47,overcast clouds
625,Aripuana,BR,-9.1667,-60.6333,79.47,82,80,0.34,broken clouds
626,Touros,BR,-5.1989,-35.4608,86.9,72,33,9.98,scattered clouds
627,Bethanien,NA,-26.502,17.1583,69.39,73,100,10.51,light rain
628,Erie,US,42.7667,-78.6664,28.26,70,100,5.99,overcast clouds
629,Savelugu,GH,9.6244,-0.8253,88.68,19,45,2.3,scattered clouds
630,Dimitrovgrad,RU,54.2139,49.6184,28.45,97,100,7.07,light snow
631,Matagami,CA,49.7502,-77.6328,-12.89,64,0,12.66,clear sky
632,Russell,US,32.3502,-85.1999,69.91,46,0,0.0,clear sky
633,Kuruman,ZA,-27.4524,23.4325,73.99,31,13,9.78,few clouds
634,Madang,PG,-5.2246,145.7966,74.64,92,79,4.97,broken clouds
635,Vila Velha,BR,-20.3297,-40.2925,76.95,90,40,8.05,light rain
636,Shelburne,CA,44.0787,-80.2041,17.76,74,100,11.25,overcast clouds
637,Katherine,AU,-14.4667,132.2667,77.32,88,1,4.61,clear sky
638,Oistins,BB,13.0667,-59.5333,82.49,57,20,21.85,few clouds
639,Qasigiannguit,GL,68.8193,-51.1922,25.05,90,100,9.44,overcast clouds
640,Nara,JP,34.6851,135.8049,42.98,58,80,3.58,broken clouds
641,Siuna,NI,13.7332,-84.7773,86.85,48,48,8.9,scattered clouds
642,Tumpat,MY,6.1978,102.171,75.18,94,40,0.0,scattered clouds
643,Manggar,ID,-2.8833,108.2667,78.6,86,100,6.44,overcast clouds
644,Okakarara,NA,-20.5833,17.4333,73.76,60,100,3.62,light rain
645,Cocorit,MX,27.5833,-109.9667,75.54,14,100,6.31,overcast clouds
646,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,46.62,70,0,6.91,clear sky
647,Brodokalmak,RU,55.5748,62.082,9.5,98,100,3.22,overcast clouds
648,Kungurtug,RU,50.5994,97.5228,-25.46,98,27,1.68,scattered clouds
649,Ekhabi,RU,53.5102,142.9671,5.68,94,94,7.43,overcast clouds
650,Port Moresby,PG,-9.4431,147.1797,71.02,94,20,3.44,few clouds
651,Juneau,US,58.3019,-134.4197,41.0,95,75,14.97,light snow
652,Hanzhong,CN,33.0728,107.0303,38.62,71,7,1.86,clear sky
653,Brokopondo,SR,4.75,-55.1667,78.76,88,90,8.01,overcast clouds
654,Maniitsoq,GL,65.4167,-52.9,11.95,76,100,12.8,overcast clouds
655,Teya,RU,60.3778,92.6267,-16.92,100,40,2.1,scattered clouds
656,Oranjemund,NA,-28.55,16.4333,68.72,76,2,9.01,clear sky
657,Atambua,ID,-9.1061,124.8925,72.55,91,92,4.05,overcast clouds
658,Buin,CL,-33.7333,-70.75,92.05,17,39,14.38,scattered clouds
659,Beroroha,MG,-21.6667,45.1667,81.39,59,51,4.65,broken clouds
660,Burnie,AU,-41.0667,145.9167,60.94,79,100,11.45,overcast clouds
661,Oyem,GA,1.5995,11.5793,77.4,56,99,4.52,overcast clouds
662,Alyangula,AU,-13.8483,136.4192,75.07,100,58,4.61,broken clouds
663,Diamantino,BR,-14.4086,-56.4461,80.64,84,97,1.74,overcast clouds
664,Mariahu,IN,25.6167,82.6167,51.37,54,0,4.47,clear sky
665,Gizo,SB,-8.103,156.8419,80.82,73,95,3.2,overcast clouds
666,Akureyri,IS,65.6835,-18.0878,24.73,54,100,0.0,overcast clouds
667,Loubomo,CG,-4.1997,12.6739,73.99,89,100,4.63,light rain
668,Oparino,RU,59.8518,48.2783,19.2,95,95,6.62,overcast clouds
669,Muzhi,RU,65.3667,64.6667,4.53,95,100,10.04,overcast clouds
670,Buk,PL,52.3553,16.5196,36.75,67,84,8.88,broken clouds
671,Potosi,BO,-19.5836,-65.7531,50.11,71,95,7.96,overcast clouds
672,Valmiera,LV,57.5411,25.4275,34.16,81,100,15.03,overcast clouds
673,Bozoum,CF,6.3193,16.3799,74.46,20,5,3.38,clear sky
674,Camacha,PT,33.0833,-16.3333,60.22,77,75,13.8,broken clouds
675,Verkh-Chebula,RU,56.0308,87.6218,-1.48,88,3,10.47,clear sky
676,Karangampel,ID,-6.4622,108.4519,77.61,88,100,7.02,light rain
677,Niamey,NE,13.5137,2.1098,86.29,8,6,2.3,dust
