City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Mogadishu,SO,77.34,overcast clouds,2.0371,45.3438,Hotel Juba
288,Ternate,ID,80.31,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
291,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
292,Ilhabela,BR,77.22,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
297,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
303,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
305,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
310,Daru,PG,78.85,clear sky,-9.0763,143.2092,Daru Lodge
311,Nauta,PE,88.77,moderate rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
312,Kloulklubed,PW,81.1,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
313,Samarai,PG,80.46,overcast clouds,-10.6167,150.6667,Nuli Sapi
317,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
319,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
324,Alugan,PH,77.76,overcast clouds,12.2188,125.4808,JM Lodge
325,Santa Isabel,BR,80.31,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
327,Dori,BF,80.82,clear sky,14.0354,-0.0345,Hôtel Liptako
330,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
334,Vao,NC,79.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
338,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
340,Tougan,BF,80.91,clear sky,13.0667,-3.0667,Hôtel SMAK
348,Acarau,BR,84.25,overcast clouds,-2.8856,-40.12,castelo pizzaria
350,Rabaul,PG,78.4,overcast clouds,-4.1967,152.1721,Rabaul Hotel
351,Sanchez,DO,78.82,broken clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
354,Laguna,US,78.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
358,Faanui,PF,80.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Diego De Almagro,CL,82.33,clear sky,-26.3667,-70.05,hotel luna del desierto
365,Sambava,MG,77.92,light rain,-14.2667,50.1667,Melrose
368,Ancud,CL,79.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
369,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
372,Omboue,GA,79.52,light rain,-1.5746,9.2618,Hotel Olako
374,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
375,Bubaque,GW,80.65,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
377,Namatanai,PG,77.83,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
380,Cape Canaveral,US,84.27,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
382,Kousseri,CM,78.76,few clouds,12.0769,15.0306,Le Pilotis
383,Ca Mau,VN,77.14,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
384,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
401,Limeira,BR,88.86,scattered clouds,-22.5647,-47.4017,Hotel Nacional Inn Limeira
408,Kapoeta,SS,89.19,scattered clouds,4.7717,33.5903,Eastgate Hotel
413,Merauke,ID,76.8,clear sky,-8.4667,140.3333,
416,Bidor,MY,76.98,overcast clouds,4.1139,101.2884,Hotel Bidor mk
