City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Coahuayana,MX,85.48,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
516,Kanniyakumari,IN,78.62,overcast clouds,8.0833,77.5667,Sparsa
520,Sola,VU,80.13,overcast clouds,-13.8833,167.55,Leumerus Bungalows
521,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
525,Wajid,SO,80.82,overcast clouds,3.8093,43.2471,xamdihotelresturant114
526,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Jebinrio home
527,Tarakan,ID,79.11,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
532,Redlands,US,84.4,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
533,Bontang,ID,78.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
538,Burgersdorp,ZA,78.12,broken clouds,-30.9977,26.3286,DeKat Self Catering
543,Bahia Honda,CU,81.7,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
545,Osorno,CL,80.91,clear sky,-40.5667,-73.15,Sonesta Hotel Osorno
552,Iralaya,HN,84.29,scattered clouds,15.0,-83.2333,Iglesia morava renovada
554,Nanakuli,US,77.7,clear sky,21.3906,-158.1547,Camp Pālehua
564,Pailon,BO,85.68,light rain,-17.65,-62.75,Alojamiento pailon
567,Acari,PE,82.17,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
570,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
575,Mongo,TD,80.85,clear sky,12.1844,18.693,Résidences du Programme FIDA
578,Eirunepe,BR,86.49,broken clouds,-6.6603,-69.8736,Atrás de você
579,Lazaro Cardenas,MX,87.6,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
581,Sao Sebastiao,BR,77.2,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
582,Union De Reyes,CU,80.78,overcast clouds,22.7953,-81.5375,Hotel Union de Reyes
589,Saint-Leu,RE,77.83,clear sky,-21.15,55.2833,La Caz Oceane
594,Penalva,BR,84.36,scattered clouds,-3.2942,-45.1736,Hotel São José
596,Roebourne,AU,85.96,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
597,Ligayan,PH,81.27,overcast clouds,4.6533,119.4706,
598,Amapa,BR,81.45,overcast clouds,1.0,-52.0,
601,Kisangani,CD,78.1,overcast clouds,0.5167,25.2,Grand Ramela Hotel
602,Tabou,CI,78.58,clear sky,4.423,-7.3528,hotêl doufoulougou
603,Florianopolis,BR,82.62,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
608,Pontes E Lacerda,BR,79.93,overcast clouds,-15.2261,-59.3353,Hotel Bressan
610,Honiara,SB,76.98,overcast clouds,-9.4333,159.95,Heritage Park Hotel
611,Poya,NC,78.71,overcast clouds,-21.35,165.15,
615,Sao Miguel,BR,86.77,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
616,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
621,Conguaco,GT,81.93,clear sky,14.0442,-90.0311,Tecolote
623,Ugoofaaru,MV,80.74,overcast clouds,5.6667,73.0,Ungoofaaru Inn
625,Aripuana,BR,79.47,broken clouds,-9.1667,-60.6333,
626,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
629,Savelugu,GH,88.68,scattered clouds,9.6244,-0.8253,Yoo Naa's Palace
635,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
637,Katherine,AU,77.32,clear sky,-14.4667,132.2667,Pine Tree Motel
638,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
641,Siuna,NI,86.85,scattered clouds,13.7332,-84.7773,hotel los chinitos
642,Tumpat,MY,75.18,scattered clouds,6.1978,102.171,Baan Tanyong B&B
643,Manggar,ID,78.6,overcast clouds,-2.8833,108.2667,Guest Hotel
645,Cocorit,MX,75.54,overcast clouds,27.5833,-109.9667,Kaba Motel
653,Brokopondo,SR,78.76,overcast clouds,4.75,-55.1667,Matu Island
659,Beroroha,MG,81.39,broken clouds,-21.6667,45.1667,
661,Oyem,GA,77.4,overcast clouds,1.5995,11.5793,Commissariat de police
662,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
663,Diamantino,BR,80.64,overcast clouds,-14.4086,-56.4461,Hotel Delta
665,Gizo,SB,80.82,overcast clouds,-8.103,156.8419,Imagination Island
676,Karangampel,ID,77.61,light rain,-6.4622,108.4519,ROOFTOP WAG ALL
677,Niamey,NE,86.29,dust,13.5137,2.1098,Soluxe Hotel Niamey
